date,USA_cpi_value,USA_cpi_days_since_update,UK_cpi_value,UK_cpi_days_since_update,USA_cpi_yoy,USA_cpi_yoy_days_since_update,UK_cpi_yoy,UK_cpi_yoy_days_since_update,UK_cpi_yoy_log
2018-05-28,250.013,18.0,105.0,16,2.4709963021052994,18.0,2.4390243902439046,16.0,0.8915981192837844
2018-05-29,250.013,19.0,105.0,17,2.4709963021052994,19.0,2.4390243902439046,17.0,0.8915981192837844
2018-05-30,250.013,20.0,105.0,18,2.4709963021052994,20.0,2.4390243902439046,18.0,0.8915981192837844
2018-05-31,250.013,21.0,105.0,19,2.4709963021052994,21.0,2.4390243902439046,19.0,0.8915981192837844
2018-06-01,250.013,22.0,105.0,20,2.4709963021052994,22.0,2.4390243902439046,20.0,0.8915981192837844
2018-06-04,250.013,25.0,105.0,23,2.4709963021052994,25.0,2.4390243902439046,23.0,0.8915981192837844
2018-06-05,250.013,26.0,105.0,24,2.4709963021052994,26.0,2.4390243902439046,24.0,0.8915981192837844
2018-06-06,250.013,27.0,105.0,25,2.4709963021052994,27.0,2.4390243902439046,25.0,0.8915981192837844
2018-06-07,250.013,28.0,105.0,26,2.4709963021052994,28.0,2.4390243902439046,26.0,0.8915981192837844
2018-06-08,250.013,29.0,105.0,27,2.4709963021052994,29.0,2.4390243902439046,27.0,0.8915981192837844
2018-06-11,250.013,32.0,105.4,0,2.4709963021052994,32.0,2.4295432458697697,0.0,0.8877032750222397
2018-06-12,250.535,0.0,105.4,1,2.781921607842497,0.0,2.4295432458697697,1.0,0.8877032750222397
2018-06-13,250.535,1.0,105.4,2,2.781921607842497,1.0,2.4295432458697697,2.0,0.8877032750222397
2018-06-14,250.535,2.0,105.4,3,2.781921607842497,2.0,2.4295432458697697,3.0,0.8877032750222397
2018-06-15,250.535,3.0,105.4,4,2.781921607842497,3.0,2.4295432458697697,4.0,0.8877032750222397
2018-06-18,250.535,6.0,105.4,7,2.781921607842497,6.0,2.4295432458697697,7.0,0.8877032750222397
2018-06-19,250.535,7.0,105.4,8,2.781921607842497,7.0,2.4295432458697697,8.0,0.8877032750222397
2018-06-20,250.535,8.0,105.4,9,2.781921607842497,8.0,2.4295432458697697,9.0,0.8877032750222397
2018-06-21,250.535,9.0,105.4,10,2.781921607842497,9.0,2.4295432458697697,10.0,0.8877032750222397
2018-06-22,250.535,10.0,105.4,11,2.781921607842497,10.0,2.4295432458697697,11.0,0.8877032750222397
2018-06-25,250.535,13.0,105.4,14,2.781921607842497,13.0,2.4295432458697697,14.0,0.8877032750222397
2018-06-26,250.535,14.0,105.4,15,2.781921607842497,14.0,2.4295432458697697,15.0,0.8877032750222397
2018-06-27,250.535,15.0,105.4,16,2.781921607842497,15.0,2.4295432458697697,16.0,0.8877032750222397
2018-06-28,250.535,16.0,105.4,17,2.781921607842497,16.0,2.4295432458697697,17.0,0.8877032750222397
2018-06-29,250.535,17.0,105.4,18,2.781921607842497,17.0,2.4295432458697697,18.0,0.8877032750222397
2018-07-02,250.535,20.0,105.4,21,2.781921607842497,20.0,2.4295432458697697,21.0,0.8877032750222397
2018-07-03,250.535,21.0,105.4,22,2.781921607842497,21.0,2.4295432458697697,22.0,0.8877032750222397
2018-07-04,250.535,22.0,105.4,23,2.781921607842497,22.0,2.4295432458697697,23.0,0.8877032750222397
2018-07-05,250.535,23.0,105.4,24,2.781921607842497,23.0,2.4295432458697697,24.0,0.8877032750222397
2018-07-06,250.535,24.0,105.4,25,2.781921607842497,24.0,2.4295432458697697,25.0,0.8877032750222397
2018-07-09,250.535,27.0,105.4,28,2.781921607842497,27.0,2.4295432458697697,28.0,0.8877032750222397
2018-07-10,250.535,28.0,105.4,29,2.781921607842497,28.0,2.4295432458697697,29.0,0.8877032750222397
2018-07-11,250.535,29.0,105.4,30,2.781921607842497,29.0,2.4295432458697697,30.0,0.8877032750222397
2018-07-12,250.857,0.0,105.8,0,2.8075506935940187,0.0,2.420135527589551,0.0,0.883823541736656
